Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722798883.0,1873452514.0,1920262570.0,1941094972.0,2021301676.0,2228279330.0,2331005587.0,2421474860.0,2623726257.0,2791960894.0,2498932961.0,2467703911.0,2584463687.0,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,,,,,,,,,,,,,,,,,,,,2461665938.0,4128820723.0,4583644246.0,5285465686.0,6275073572.0,7057598407.0,9843842455.0,10190529882.0,12486943506.0,15936800636.0,17930239400.0,20536542737.0,20264253974.0,20616104298.0,19215562179.0,19469022208.0,20815300220.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063345.0,8083872012.0,8769250550.0,10201099040.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,12497347956.0,14188949398.0,19640853734.0,28233712738.0,41789479932.0,60448924662.0,84178035579.0,75492385928.0,82526143645.0,104000000000.0,114000000000.0,125000000000.0,127000000000.0,103000000000.0,95337203468.0,124000000000.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453.0,1965384586.0,2173750013.0,2156624900.0,2126000000.0,2335124988.0,2101624963.0,1139166646.0,709452583.9,1228071038.0,1985673798.0,2424499009.0,3314898292.0,2359903108.0,2707123772.0,3414760915.0,3632043908.0,4060758804.0,4435078648.0,5746945913.0,7314865176.0,8158548717.0,8992642349.0,10701011897.0,12881352688.0,12044212904.0,11926953259.0,12890867539.0,12319784787.0,12776277515.0,13228244357.0,11386931490.0,11883682171.0,13039352744.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1434429703.0,1496912752.0,1733116883.0,2398645598.0,2935659300.0,3255789081.0,3543256806.0,4016972351.0,4007353157.0,3660530703.0,3355695364.0,3442062830.0,3164615187.0,3281585236.0,3350736367.0,2811489409.0,2877311947.0,3012914131.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507.0,19213022691.0,24871775165.0,23775831783.0,31225463218.0,43598748449.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104000000000.0,103000000000.0,110000000000.0,124000000000.0,148000000000.0,181000000000.0,222000000000.0,258000000000.0,315000000000.0,254000000000.0,290000000000.0,351000000000.0,375000000000.0,390000000000.0,403000000000.0,358000000000.0,357000000000.0,383000000000.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,26436857247.0,31256284544.0,31584210366.0,33293199095.0,34733000536.0,52544000117.0,72436777342.0,52438647922.0,51169499891.0,56781000101.0,58082870156.0,69252328953.0,76961923742.0,78676842366.0,84307486837.0,104000000000.0,79092001998.0,88416668900.0,111000000000.0,111000000000.0,126000000000.0,76636898036.0,141000000000.0,190000000000.0,229000000000.0,237000000000.0,257000000000.0,258000000000.0,272000000000.0,293000000000.0,299000000000.0,284000000000.0,284000000000.0,269000000000.0,97724004252.0,128000000000.0,165000000000.0,199000000000.0,233000000000.0,288000000000.0,362000000000.0,333000000000.0,424000000000.0,530000000000.0,546000000000.0,552000000000.0,526000000000.0,595000000000.0,555000000000.0,638000000000.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.0,2068526522.0,1272577456.0,1201313201.0,1315158670.0,1468317350.0,1596968913.0,1639492424.0,1893726437.0,1845482181.0,1911563665.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11536590636.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,659000000.0,658000000.0,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496740.74,87879333.33,109079963.0,131431037.0,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296.0,1157005444.0,1311401333.0,1368431037.0,1224253000.0,1152469074.0,1142042926.0,1211411704.0,1192925407.0,1280133333.0,1364863037.0,1460144704.0,1532397556.0
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18573188487.0,19648336880.0,19888005376.0,21501847911.0,23758539590.0,25931235301.0,27261731437.0,30389741292.0,32657632434.0,36620002240.0,41261059469.0,45138313361.0,51954439252.0,63721973094.0,88809137804.0,97147343985.0,105000000000.0,110000000000.0,118000000000.0,135000000000.0,150000000000.0,177000000000.0,194000000000.0,177000000000.0,193000000000.0,180000000000.0,182000000000.0,189000000000.0,236000000000.0,299000000000.0,311000000000.0,325000000000.0,325000000000.0,312000000000.0,322000000000.0,367000000000.0,400000000000.0,435000000000.0,399000000000.0,388000000000.0,415000000000.0,378000000000.0,394000000000.0,466000000000.0,612000000000.0,693000000000.0,746000000000.0,852000000000.0,1050000000000.0,926000000000.0,1140000000000.0,1390000000000.0,1540000000000.0,1570000000000.0,1460000000000.0,1350000000000.0,1210000000000.0,1320000000000.0
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.0,7311749633.0,7756110210.0,8374175258.0,9169983886.0,9994070616.0,10887682273.0,11579431669.0,12440625313.0,13582798556.0,15373005769.0,17858485957.0,22059612417.0,29515467988.0,35189299985.0,40059206763.0,42959976068.0,51545759221.0,62052258694.0,73937296655.0,82058912465.0,71034228097.0,71275287328.0,72121016623.0,67985345162.0,69386774475.0,99036165210.0,124000000000.0,133000000000.0,133000000000.0,166000000000.0,174000000000.0,195000000000.0,190000000000.0,204000000000.0,241000000000.0,237000000000.0,213000000000.0,218000000000.0,217000000000.0,197000000000.0,197000000000.0,213000000000.0,262000000000.0,301000000000.0,316000000000.0,336000000000.0,389000000000.0,430000000000.0,400000000000.0,392000000000.0,431000000000.0,409000000000.0,430000000000.0,442000000000.0,382000000000.0,391000000000.0,417000000000.0
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036.0,8792365811.0,4991350458.0,3973027397.0,3313739674.0,3052467522.0,3176749593.0,3962710163.0,4446396218.0,4581222442.0,5272617196.0,5707720391.0,6235795104.0,7276013032.0,8680472169.0,13245716099.0,20982986344.0,33050343783.0,48852482960.0,44291490421.0,52902703376.0,65951627200.0,69683935845.0,74164435946.0,75244294275.0,53074370486.0,37867518957.0,40747792238.0
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279.0,1273180597.0,1356078278.0,1611634332.0,1739781489.0,2026864469.0,2355652126.0,2472384907.0,2714505635.0,3093647227.0,3066681387.0,3007029030.0,3477502178.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591.0,12400145222.0,13264015675.0,14260017387.0,15960106681.0,17371457608.0,18651883472.0,19992040788.0,21376353113.0,23710735895.0,26849148286.0,29981290025.0,37408591330.0,47999363072.0,56333010460.0,66029748931.0,71494539498.0,83283328419.0,102000000000.0,117000000000.0,128000000000.0,105000000000.0,92588895020.0,87650915976.0,83795680815.0,86730038793.0,121000000000.0,150000000000.0,163000000000.0,165000000000.0,206000000000.0,212000000000.0,236000000000.0,226000000000.0,246000000000.0,290000000000.0,281000000000.0,255000000000.0,261000000000.0,260000000000.0,238000000000.0,238000000000.0,259000000000.0,319000000000.0,371000000000.0,387000000000.0,410000000000.0,472000000000.0,519000000000.0,485000000000.0,484000000000.0,527000000000.0,498000000000.0,521000000000.0,531000000000.0,455000000000.0,468000000000.0,493000000000.0
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901.0,504376035.7,554654787.0,676870140.3,698408244.4,750049739.2,928843304.8,1186231265.0,1405251547.0,1291119965.0,1267778489.0,1095348303.0,1051133927.0,1045712703.0,1336102041.0,1562412030.0,1620246187.0,1502294411.0,1959965244.0,1986437860.0,1695315306.0,2274557914.0,1598075932.0,2169627251.0,2361116588.0,2268301538.0,2455092582.0,2689787918.0,2569186643.0,2680213931.0,3054571082.0,3905366188.0,4521424807.0,4803702821.0,5142380779.0,5969535132.0,7132787397.0,7097198712.0,6970240895.0,7814081156.0,8152554487.0,9157355680.0,9707432016.0,8291155881.0,8573159697.0,9273558272.0
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,6480000000000.0,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279.0,578595584.0,674773821.2,751133642.6,939972703.5,976547572.2,1131225279.0,1475584037.0,1748480982.0,1928720390.0,1775842680.0,1754450379.0,1600278756.0,1459880353.0,1552493414.0,2036303381.0,2369835439.0,2616040646.0,2615588546.0,3101301781.0,3135045684.0,2240264712.0,2332018011.0,1895290965.0,2379518099.0,2586550747.0,2447669404.0,2804902724.0,2993753187.0,2628920056.0,2812845514.0,3205592290.0,4205691222.0,4838551100.0,5462709498.0,5816310158.0,6771277871.0,8369637065.0,8369175126.0,8979966766.0,10724063458.0,11166063467.0,11947176342.0,12377391463.0,10419303761.0,11448781714.0,12873114800.0
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913.0,4817580184.0,5081413340.0,5319458351.0,5386054619.0,5906636557.0,6439687598.0,7253575399.0,7483685474.0,8471006101.0,8992721809.0,8751842840.0,6288245867.0,8086725729.0,12512460520.0,19448348073.0,10117113333.0,9651149302.0,13281767143.0,15565480322.0,18138049096.0,20249694002.0,18525399202.0,17609048822.0,18920840000.0,22278423077.0,21774033333.0,24298032258.0,26579005760.0,28781714764.0,31598341234.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102000000000.0,115000000000.0,129000000000.0,133000000000.0,150000000000.0,173000000000.0,195000000000.0,221000000000.0,250000000000.0
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.0,19870000000.0,19342000000.0,16563666667.0,17594944444.0,17155421053.0,20249294118.0,28101000000.0,22555941176.0,21988444444.0,20632090909.0,10943548387.0,10350515464.0,10829710145.0,9697416974.0,13063422619.0,10109612142.0,11195612105.0,14630992956.0,13495075366.0,13153016531.0,14075616789.0,16276456428.0,20982685981.0,25957970922.0,29636617750.0,34130122491.0,44411476557.0,54409138498.0,51884481410.0,50610058210.0,57418414504.0,53903022339.0,55758754072.0,56731990232.0,50199104511.0,53240893665.0,56831518294.0
