actors_name,sex,position,salary,url,short_bio_url,birth_date,birth_year,place_of_birth,birth_name,height,nicknames,age,wins,nominations,producer_credits,actors_credits,composers_credits,soundtrack_credits,total_credits,credit_bins,full_birth_date
Mark Wahlberg,male,Producer,68.0,https://www.imdb.com/name/nm0000242/,https://www.imdb.com/name/nm0000242/bio/?ref_=nm_ov_bio_sm,June 5,1971,"Dorchester, Boston, Massachusetts, USA",Mark Robert Michael Wahlberg,1.73,"Marky Mark, Monk D",52.0,24,82,42,79,9,44,174,150-199,1971-06-05
Dwayne Johnson,male,Actor,65.0,https://www.imdb.com/name/nm0425005/,https://www.imdb.com/name/nm0425005/bio/?ref_=nm_ov_bio_sm,May 2,1972,"Hayward, California, USA",Dwayne Douglas Johnson,1.96,"The Peoples Champion, The Brahma Bull, The Great One, The Rock, Dewey",51.0,19,74,48,105,0,13,166,150-199,1972-05-02
Vin Diesel,male,Actor,54.5,https://www.imdb.com/name/nm0004874/,https://www.imdb.com/name/nm0004874/bio/?ref_=nm_ov_bio_sm,July 18,1967,"Alameda County, California, USA",Mark Sinclair,1.82,,56.0,9,41,34,60,0,1,95,50-99,1967-07-18
Adam Sandler,male,Actor,50.5,https://www.imdb.com/name/nm0001191/,https://www.imdb.com/name/nm0001191/bio/?ref_=nm_ov_bio_sm,September 9,1966,"Brooklyn, New York City, New York, USA",Adam Richard Sandler,1.77,Sandman,56.0,72,132,62,86,3,36,187,150-199,1966-09-09
Jackie Chan,male,Actor,49.0,https://www.imdb.com/name/nm0000329/,https://www.imdb.com/name/nm0000329/bio/?ref_=nm_ov_bio_sm,April 7,1954,"Victoria Peak, Hong Kong",Kong-sang Chan,1.72,"Yuen Lo, Sing Lung, Pao Pao, Kung-Fu Master",69.0,48,50,66,148,0,14,228,200-249,1954-04-07
Robert Downey Jr.,male,Actor,48.0,https://www.imdb.com/name/nm0000375/,https://www.imdb.com/name/nm0000375/bio/?ref_=nm_ov_bio_sm,April 4,1965,"Manhattan, New York City, New York, USA",Robert John Downey Jr,1.73,"Bob, RDJ",58.0,43,122,18,94,0,11,123,100-149,1965-04-04
Tom Cruise,male,Actor,43.0,https://www.imdb.com/name/nm0000129/,https://www.imdb.com/name/nm0000129/bio/?ref_=nm_ov_bio_sm,July 3,1962,"Syracuse, New York, USA",Thomas Cruise Mapother IV,1.7,TC,61.0,59,108,23,50,0,7,80,50-99,1962-07-03
Shah Rukh Khan,male,Actor,38.0,https://www.imdb.com/name/nm0451321/,https://www.imdb.com/name/nm0451321/bio/?ref_=nm_ov_bio_sm,November 2,1965,"New Delhi, India",No data available,1.69,"King Khan, SRK, The Badshah of Bollywood, The King of Bollywood",57.0,116,138,18,111,0,9,138,100-149,1965-11-02
Salman Khan,male,Actor,37.0,https://www.imdb.com/name/nm0006795/,https://www.imdb.com/name/nm0006795/bio/?ref_=nm_ov_bio_sm,December 27,1965,"Indore, Madhya Pradesh, India",Abdul Rashid Salim Salman Khan,1.69,"Sallu, Bhaijaan, Dabangg Khan, Rambo of India, The Sylvester Stallone of India, The Tiger of Bollywood, Muscle Khan, Supreme Khan, Blockbuster Star, Robin Hood Khan",57.0,45,124,14,134,1,11,160,150-199,1965-12-27
Akshay Kumar,male,Actor,35.5,https://www.imdb.com/name/nm0474774/,https://www.imdb.com/name/nm0474774/bio/?ref_=nm_ov_bio_sm,September 9,1967,"Amritsar, Punjab, India",Rajiv Hari Om-Bhatia,1.78,"Akki, Mac, Khiladi, Khiladi Kumar",55.0,53,137,20,176,0,6,202,200-249,1967-09-09
Chris Hemsworth,male,Actor,31.5,https://www.imdb.com/name/nm1165110/,https://www.imdb.com/name/nm1165110/bio/?ref_=nm_ov_bio_sm,August 11,1983,"Melbourne, Victoria, Australia",Christopher Hemsworth,1.91,"Kip, Chris",39.0,15,47,9,51,0,1,61,50-99,1983-08-11
Tom Hanks,male,Producer,31.0,https://www.imdb.com/name/nm0000158/,https://www.imdb.com/name/nm0000158/bio/?ref_=nm_ov_bio_sm,July 9,1956,"Concord, California, USA",Thomas Jeffrey Hanks,1.83,,67.0,93,209,62,96,0,20,178,150-199,1956-07-09
Samuel L. Jackson,male,Actor,30.5,https://www.imdb.com/name/nm0000168/,https://www.imdb.com/name/nm0000168/bio/?ref_=nm_ov_bio_sm,December 21,1948,"Washington D.C., USA",Samuel Leroy Jackson,1.89,"Sam, King of Cool, Mr Cool",74.0,48,95,12,208,0,6,226,200-249,1948-12-21
Ryan Gosling,male,Actor,29.0,https://www.imdb.com/name/nm0331516/,https://www.imdb.com/name/nm0331516/bio/?ref_=nm_ov_bio_sm,November 12,1980,"London, Ontario, Canada",Ryan Thomas Gosling,1.84,,42.0,35,159,9,50,0,16,75,50-99,1980-11-12
Emma Stone,female,Actress,26.0,https://www.imdb.com/name/nm1297015/,https://www.imdb.com/name/nm1297015/bio/?ref_=nm_ov_bio_sm,November 6,1988,"Scottsdale, Arizona, USA",Emily Jean Stone,1.68,Emma,34.0,72,185,11,55,0,4,70,50-99,1988-11-06
Jennifer Aniston,female,Actress,25.5,https://www.imdb.com/name/nm0000098/,https://www.imdb.com/name/nm0000098/bio/?ref_=nm_ov_bio_sm,February 11,1969,"Sherman Oaks, California, USA",Jennifer Joanna Aniston,1.64,"Jen, Jenny",54.0,43,97,15,72,0,10,97,50-99,1969-02-11
Jennifer Lawrence,female,Actress,24.0,https://www.imdb.com/name/nm2225369/,https://www.imdb.com/name/nm2225369/bio/?ref_=nm_ov_bio_sm,August 15,1990,"Louisville, Kentucky, USA",Jennifer Shrader Lawrence,1.75,"Jen, J. Law, Nitro",32.0,120,192,6,38,0,7,51,50-99,1990-08-15
Ryan Reynolds,male,Actor,21.5,https://www.imdb.com/name/nm0005351/,https://www.imdb.com/name/nm0005351/bio/?ref_=nm_ov_bio_sm,October 23,1976,"Vancouver, British Columbia, Canada",Ryan Rodney Reynolds,1.88,,46.0,21,62,26,127,0,5,158,150-199,1976-10-23
Matt Damon,male,Actor,21.0,https://www.imdb.com/name/nm0000354/,https://www.imdb.com/name/nm0000354/bio/?ref_=nm_ov_bio_sm,October 8,1970,"Boston, Massachusetts, USA",Matthew Paige Damon,1.78,,52.0,37,154,32,97,0,7,136,100-149,1970-10-08
Jeremy Renner,male,Actor,19.0,https://www.imdb.com/name/nm0719637/,https://www.imdb.com/name/nm0719637/bio/?ref_=nm_ov_bio_sm,January 7,1971,"Modesto, California, USA",Jeremy Lee Renner,1.74,Renni,52.0,35,64,6,62,0,9,77,50-99,1971-01-07
Chris Evans,male,Actor,18.0,https://www.imdb.com/name/nm0262635/,https://www.imdb.com/name/nm0262635/bio/?ref_=nm_ov_bio_sm,June 13,1981,"Boston, Massachusetts, USA",Christopher Robert Evans,1.83,Cevans,42.0,8,58,4,60,0,1,65,50-99,1981-06-13
Melissa McCarthy,female,Actress,18.0,https://www.imdb.com/name/nm0565250/,https://www.imdb.com/name/nm0565250/bio/?ref_=nm_ov_bio_sm,August 26,1970,"Plainfield, Illinois, USA",Melissa Ann McCarthy,1.57,,52.0,39,111,15,63,0,7,85,50-99,1970-08-26
Chris Pratt,male,Actor,17.0,https://www.imdb.com/name/nm0695435/,https://www.imdb.com/name/nm0695435/bio/?ref_=nm_ov_bio_sm,June 21,1979,"Virginia, Minnesota, USA",Christopher Michael Pratt,1.88,Chris,44.0,18,41,5,69,0,8,82,50-99,1979-06-21
Mila Kunis,female,Actress,15.5,https://www.imdb.com/name/nm0005109/,https://www.imdb.com/name/nm0005109/bio/?ref_=nm_ov_bio_sm,August 14,1983,"Chernovtsy, Ukrainian SSR, USSR [now Chernivtsi, Ukraine]",Milena Markovna Kunis,1.63,Goldfish,39.0,14,62,9,76,0,4,89,50-99,1983-08-14
Emma Watson,female,Actress,14.0,https://www.imdb.com/name/nm0914612/,https://www.imdb.com/name/nm0914612/bio/?ref_=nm_ov_bio_sm,April 15,1990,"Paris, France",Emma Charlotte Duerre Watson,1.65,Em,33.0,26,65,0,26,0,3,29,0-49,1990-04-15
Charlize Theron,male,Producer,14.0,https://www.imdb.com/name/nm0000234/,https://www.imdb.com/name/nm0000234/bio/?ref_=nm_ov_bio_sm,August 7,1975,"Benoni, Transvaal, South Africa",No data available,1.77,Charlie,47.0,69,147,24,70,0,2,96,50-99,1975-08-07
Mark Ruffalo,male,Actor,13.0,https://www.imdb.com/name/nm0749263/,https://www.imdb.com/name/nm0749263/bio/?ref_=nm_ov_bio_sm,November 22,1967,"Kenosha, Wisconsin, USA",Mark Alan Ruffalo,1.73,,55.0,35,129,10,79,0,5,94,50-99,1967-11-22
Cate Blanchett,female,Actress,12.0,https://www.imdb.com/name/nm0000949/,https://www.imdb.com/name/nm0000949/bio/?ref_=nm_ov_bio_sm,May 14,1969,"Melbourne, Victoria, Australia",Catherine Elise Blanchett,1.74,,54.0,202,269,15,95,0,2,112,100-149,1969-05-14
Julia Roberts,female,Actress,12.0,https://www.imdb.com/name/nm0000210/,https://www.imdb.com/name/nm0000210/bio/?ref_=nm_ov_bio_sm,October 28,1967,"Smyrna, Georgia, USA",Julia Fiona Roberts,1.73,Jules,55.0,61,114,12,68,0,5,85,50-99,1967-10-28
Amy Adams,female,Actress,11.5,https://www.imdb.com/name/nm0010736/,https://www.imdb.com/name/nm0010736/bio/?ref_=nm_ov_bio_sm,August 20,1974,"Vicenza, Veneto, Italy",Amy Lou Adams,1.63,,48.0,74,246,6,69,0,14,89,50-99,1974-08-20
