senators_name,initials,votes
Alexander,R-TN,Not Voting
Baldwin,D-WI,No
Barrasso,R-WY,Yes
Bennet,D-CO,No
Blackburn,R-TN,Not Voting
Blumenthal,D-CT,No
Blunt,R-MO,Yes
Booker,D-NJ,No
Boozman,R-AR,Yes
Braun,R-IN,Yes
Brown,D-OH,No
Burr,R-NC,Yes
Cantwell,D-WA,No
Capito,R-WV,Yes
Cardin,D-MD,No
Carper,D-DE,No
Casey,D-PA,No
Cassidy,R-LA,Yes
Collins,R-ME,Yes
Coons,D-DE,No
Cornyn,R-TX,Yes
Cortez Masto,D-NV,No
Cotton,R-AR,Yes
Cramer,R-ND,Yes
Crapo,R-ID,Yes
Cruz,R-TX,Yes
Daines,R-MT,Yes
Duckworth,D-IL,Not Voting
Durbin,D-IL,No
Enzi,R-WY,Yes
Ernst,R-IA,Yes
Feinstein,D-CA,No
Fischer,R-NE,Yes
Gardner,R-CO,Yes
Gillibrand,D-NY,No
Graham,R-SC,Yes
Grassley,R-IA,Yes
Harris,D-CA,No
Hassan,D-NH,No
Hawley,R-MO,Yes
Heinrich,D-NM,No
Hirono,D-HI,No
Hoeven,R-ND,Yes
Hyde-Smith,R-MS,Yes
Inhofe,R-OK,Yes
Johnson,R-WI,Yes
Jones,D-AL,Yes
Kaine,D-VA,No
Kennedy,R-LA,Yes
King,I-ME,No
Klobuchar,D-MN,No
Lankford,R-OK,Yes
Leahy,D-VT,No
Lee,R-UT,Yes
Loeffler,R-GA,Yes
Manchin,D-WV,Yes
Markey,D-MA,No
McConnell,R-KY,Yes
McSally,R-AZ,Yes
Menendez,D-NJ,No
Merkley,D-OR,No
Moran,R-KS,Yes
Murkowski,R-AK,Yes
Murphy,D-CT,No
Murray,D-WA,No
Paul,R-KY,Yes
Perdue,R-GA,Yes
Peters,D-MI,No
Portman,R-OH,Yes
Reed,D-RI,No
Risch,R-ID,Yes
Roberts,R-KS,Yes
Romney,R-UT,Yes
Rosen,D-NV,No
Rounds,R-SD,Yes
Rubio,R-FL,Yes
Sanders,I-VT,No
Sasse,R-NE,Yes
Schatz,D-HI,No
Schumer,D-NY,No
Scott,R-FL,Yes
Scott,R-SC,Yes
Shaheen,D-NH,No
Shelby,R-AL,Yes
Sinema,D-AZ,Yes
Smith,D-MN,No
Stabenow,D-MI,No
Sullivan,R-AK,Yes
Tester,D-MT,Yes
Thune,R-SD,Yes
Tillis,R-NC,Yes
Toomey,R-PA,Yes
Udall,D-NM,No
Van Hollen,D-MD,No
Warner,D-VA,No
Warren,D-MA,No
Whitehouse,D-RI,No
Wicker,R-MS,Yes
Wyden,D-OR,No
Young,R-IN,Yes
